OBJECTID;SUID;SU_Count;SU_ModCount;SU_Row;SU_Line;SU_RInt;SU_LInt;SU_LU;SU_AgrCond;SU_Pass;SU_Vis;Strategy;AncientCount;SU_Sample;SU_Diag;SU_Frag;SU_Wear;SU_AC;SU_Daub;SU_HM;SU_Lithic;SU_Notes;SU_Date;Shape_Length;Shape_Area
884;72110;0;0;5;5;15;15;2;3;1;3;1;0;0;0;3;3;0;0;0;0; ;;365.569985968940050;8309.433960798200100
885;72111;1;0;5;5;15;15;2;3;1;3;1;1;0;0;3;3;1;0;0;0; ;;372.856391884001820;8669.715151874395800
886;72112;4;0;5;5;15;15;2;3;1;3;1;4;0;0;3;3;0;0;0;0; ;;349.993005739998010;7561.174638556670300
887;72113;2;0;5;5;15;15;2;3;1;3;1;2;0;0;3;3;1;0;0;0; ;;316.239702539585270;6324.630898966420300
888;72114;1;0;5;2;15;15;2;3;1;3;1;1;0;0;3;3;0;0;0;0; ;;261.594577113779390;3567.765340665151600
889;72115;0;0;3;2;15;15;2;3;1;3;1;0;0;0;3;3;0;0;0;0; ;;174.306684808988730;1676.795945962488100
890;72116;0;0;5;5;15;15;2;3;1;3;1;0;0;0;3;3;0;0;0;0; ;;255.669688436836420;3323.848270956255000
891;72117;0;0;5;5;15;15;2;3;1;3;1;0;0;0;3;3;0;0;0;0; ;;339.181222620617180;7054.497521430955200
892;72118;8;0;5;5;15;15;2;3;1;3;1;8;0;0;3;3;1;0;0;0; ;;347.333385308924450;7486.801176481186300
893;72119;10;0;5;5;15;15;2;3;1;3;1;10;1;1;3;3;1;0;0;0; ;;338.229027748704540;7112.403769870431500
894;72120;28;0;5;5;15;15;2;3;1;3;1;28;1;0;3;3;1;0;0;0; ;;346.828845940346980;7492.030262123240400
895;72121;6;0;5;5;15;15;2;3;1;3;1;6;0;0;3;3;1;0;0;0; ;;332.242226266607990;6885.417966432925800
896;72122;2;0;5;5;15;15;2;3;1;3;1;2;0;0;3;3;0;0;0;0; ;;339.449030229093750;7156.958193321943300
897;72123;2;0;5;5;15;15;2;3;1;3;1;2;0;0;3;3;1;0;0;0; ;;316.554418252303890;5517.284603422779600
898;72124;0;0;5;5;15;15;2;3;1;3;1;0;0;0;3;3;0;0;0;0; ;;344.620614202774220;7190.977000106428000
899;72125;14;0;5;5;15;15;2;3;1;3;1;14;0;0;4;4;0;0;0;0; ;;335.961933969595980;7023.833909216977200
900;72126;27;0;5;5;15;15;2;3;1;3;1;27;1;1;4;4;1;0;1;0; ;;347.112953910560120;7519.015315777656700
901;72127;24;0;5;5;15;15;2;3;1;3;1;24;0;0;4;4;0;0;0;0; ;;329.837258590079840;6787.769542423893700
902;72128;32;0;5;5;15;15;2;3;1;3;1;32;0;0;4;4;0;0;0;0; ;;323.975904516616820;6536.480366812123100
903;72129;9;0;5;5;15;15;2;3;1;3;1;9;0;0;4;4;1;0;0;0; ;;326.477077774855790;6631.476840313558600
904;72130;5;0;5;5;15;15;2;3;1;3;1;5;0;0;4;4;0;0;0;0; ;;326.056292716323700;6600.665020325042900
905;72131;0;0;5;5;15;15;2;3;1;3;1;0;0;0;4;4;0;0;0;0; ;;290.943934099455930;4658.431567516101500
906;72132;1;0;5;5;15;15;2;3;1;3;1;1;0;0;4;4;0;0;0;0; ;;399.546233033094270;9741.977248874001800
907;72133;8;0;5;5;15;15;2;3;1;3;1;8;0;0;4;4;1;0;0;0; ;;381.722422797730590;8929.980076768990300
908;72134;2;0;5;5;15;15;2;3;1;3;1;2;0;0;4;4;1;0;0;0; ;;379.995624553714260;8847.085219591774100
909;72135;19;0;5;5;15;15;2;3;1;3;1;19;0;1;4;4;1;0;0;0; ;;362.432760658011260;8152.192116354732200
910;72136;25;1;5;5;15;15;2;3;1;3;1;24;1;1;4;4;1;1;0;0; ;;367.977888843519740;8442.182827166048800
911;72137;32;0;5;5;15;15;2;3;1;3;1;32;0;0;4;4;1;0;0;0; pithos;;371.268315880835250;8075.234155430188400
912;72138;17;0;5;5;15;15;2;3;1;3;1;17;1;1;4;4;1;0;0;0; ;;314.745183069818270;6124.534232673928300
913;72139;2;0;6;5;15;15;2;3;1;3;1;2;1;0;4;4;0;0;0;0; ;;294.273439531356300;5157.884664902891000
914;72140;1;0;5;1;15;15;2;3;1;3;1;1;0;0;4;4;0;0;0;0; ;;226.235599051509780;1812.877679799077900
915;72141;3;0;5;2;15;15;2;3;1;3;1;3;1;0;4;4;0;0;0;0; ;;249.089401014492180;3042.685024562291300
916;72142;2;0;5;3;15;15;2;3;1;3;1;2;0;0;4;4;1;0;0;0; ;;275.658353511278900;4383.086923108738100
917;72143;11;0;5;5;15;15;2;3;1;3;1;11;1;0;4;4;1;0;0;0; ;;338.572073759450180;6923.342646599135200
918;72144;6;0;5;5;15;15;2;3;1;3;1;6;0;0;4;4;0;0;0;0; ;;347.614789126444920;7525.612770277226400
919;72145;3;1;5;5;15;15;2;3;1;3;1;2;0;0;4;4;1;0;0;0; ;;331.576412237945870;6846.045159622684000
920;72146;2;0;5;5;15;15;2;3;1;3;1;2;0;0;4;4;1;0;0;0; ;;360.141057733294470;8014.824524674217200
921;72147;0;0;5;5;15;15;2;3;1;3;1;0;0;0;4;4;0;0;0;0; ;;347.804189942614130;7202.797008740225500
922;72148;0;0;5;5;15;15;2;3;1;3;1;0;0;0;4;4;0;0;0;0; ;;356.082099268272660;7802.885106879196400
923;72149;3;0;5;5;15;15;2;3;1;3;1;3;0;0;4;4;0;0;0;0; ;;336.062513606668920;6956.595546735303300
924;72150;0;0;5;5;15;15;2;3;1;3;1;0;0;0;4;4;0;0;0;0; ;;321.896997109436480;6461.203204652818400
925;72151;1;0;5;5;15;15;2;3;1;3;1;1;0;0;4;4;0;0;0;0; ;;307.453231051580020;4541.463832877218000
926;72152;0;0;4;1;15;15;2;3;1;3;1;0;0;0;4;4;0;0;0;0; ;;229.386088247420220;1298.116085267282900
